,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year_data_collected,Grouped_Sector
612,BYJU'S,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath",TigaInvestmentsBaronCapital,350000000,N/A,2021,Education
613,Power Gummies,2018,New Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,VentureCatalysts9unicorns,1000000,N/A,2021,
614,Convosight,2019,New Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000,SeriesA,2021,
615,Junio,2020,New Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,AmitLakhotiaPravinJadhav,600000,Seed,2021,Finance
616,Wherehouse.io,2020,New Delhi,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",BetterCapital,0,Seed,2021,
617,Flexmoney,2015,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,PravegaVentures,4800000,SeriesA,2021,Finance
618,Fampay,2019,Bangalore,FinTech,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain",GreenoaksCapitalElevationCapital,38000000,SeriesA,2021,Finance
619,Apna,2019,Bangalore,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,SequoiaCapitalIndiarocketship.vc,70000000,SeriesB,2021,
620,XYXX Apparels,2017,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,N/A,4000000,SeriesA,2021,
621,WaterScience,2014,Bangalore,D2C startup,The aim of making good water affordable and accessible.,Sudeep N,N/A,0,Undisclosed,2021,
622,BrowserStack,2011,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000,SeriesB,2021,
623,Vital,2018,New Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinCInvest,3000000,Pre-seriesA,2021,
624,Juicy chemistry,2014,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",SpringMarketingCapital,0,Undisclosed,2021,
625,Samaaro,2020,Bangalore,SaaS startup,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan",ChaitanyaKalipatnapuKedarGavane,125000,N/A,2021,
626,Imagimake,2011,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar",RohaInvestmentManagersangelinvestorSaumilShah,500000,Pre-seriesA,2021,
627,MSMEx,2019,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav",TNFVenturesRazorpay,1000000,Pre-seriesA,2021,Education
628,RenewBuy,2015,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda",LokCapitalIIFLAssetManagement,45000000,SeriesC,2021,
629,saarthi.ai,2017,Bangalore,AI startup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",NvidiaInception,0,Seed,2021,
630,Kutumb,2020,Bangalore,Community platform,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi",TigerGlobalManagementDSTGlobal,26000000,SeriesA,2021,
631,Superplum,2019,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marqueeinvestors,3800000,Pre-seriesA,2021,
632,Upside AI,2017,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",EndiyaPartners,1200000,Seed,2021,Finance
633,PazCare,2021,Bangalore,Insuretech,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,AshishHemrajaniParikshitDar,0,Undisclosed,2021,
634,Answer Genomics,2019,Bangalore,HealthCare,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul Ranganathan,IndiaAcceleratorLyxel&Flamingo,0,Undisclosed,2021,
635,Skillmatics,2016,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,SequoiaCapitalIndia,6000000,SeriesA,2021,Education
636,Bimaplan,2020,Bangalore,Insuretech,Affordable insurance for the next billion Indians,Vikul Goyal,RoshanAbbasRiteshMalik,2500000,Pre-seriesA,2021,
637,Bueno Finance,2019,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora",GoatCapitalJAMFund,3000000,Seed,2021,Finance
638,CityMall,2019,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan",GeneralCatalystJungleVentures,22000000,SeriesB,2021,Retail
639,BYJU’S,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath",BlackstoneGroupADQ,50000000,N/A,2021,Education
640,India Quotient,2012,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,"Anand Lunia, Madhukar Sinha",N/A,64000000,N/A,2021,
641,The Switch Fix,2019,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla",VentureCatalysts9unicorns,0,Seed,2021,
642,Anvidha Technologies,2020,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,N/A,1500000,Seed,2021,
643,DigiSparsh,2020,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAheadVentures,0,Seed,2021,Finance
644,CoffeeMug.ai,2020,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon",ParadigmShiftCapitalAngelListIndia,620000,Pre-seed,2021,
645,Pathfndr.io,2015,Bangalore,SaaS startup,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun Gupta,AraliVentures,0,Pre-seriesA,2021,
646,BigLeap,2015,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,"Jamesh Johnson, Sainath Malkapuram Goud",AnupKumarYama,600000,N/A,2021,
647,Kazam,2020,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",InflectionPointVentures,900000,Seed,2021,
648,MYRE Capital,2020,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,Own rent yielding commercial properties,AryamanVir,0,6000000,2021,
649,BimaPe,2020,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,iSeedTitanCapital,500000,Pre-seed,2021,Finance
650,MicroDegree,2019,Mangalore,EdTech,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,"Gaurav Kamath, Rakesh Kothari, Manikanta Nair",ResearchInnovationIncubationDesignLabs,0,Undisclosed,2021,Education
651,Saarthi Pedagogy,2015,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,SushilAgarwal,1000000,JITOAngelNetworkLetsVenture,2021,Education
652,Synapsica,2017,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan",IvyCapVenturesEndiyaPartners,4000000,SeriesA,2021,
653,Kwik Foods,2020,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,0,Seed,2021,
654,Plutomen,2016,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,Keyur Bhalavat,GUSECSeedFundDeVXVentureFund,300000,N/A,2021,
655,GoMechanic,2016,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,TigerGlobalSequoia,42000000,SeriesC,2021,Automotive
656,Grinntech,2013,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.","Nikhilesh Mishra, Puneet Jain",N/A,2000000,N/A,2021,Automotive
657,Nobel Hygiene,1999,Mumbai,HealthCare,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Johari Kamal,QuadriaCapital,60000000,N/A,2021,
658,Green Cure,2015,New Delhi,HealthCare,World's first company to combine German Engineering with Indian Ayurveda in health products,Sanchit Garg,VentureCatalysts,0,Pre-seriesA,2021,
659,Classplus,2017,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,"Mukul Rustagi, Bhaswat Agarwal",TigerGlobal,65000000,SeriesC,2021,Education
660,WINDO,2020,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,"Silus Reddy Chintapalli, Rakesh Vaddadi",UnicornIndiaVentures,500000,Seed,2021,Retail
661,ApnaKlub,2020,Bangalore,E-commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Shruti, Manish Kumar",BlumeVenturesWhiteboardCapital,0,Pre-seriesA,2021,Retail
662,LegalPay,2019,New Delhi,FinTech,A tech focused B2B litigation finance company in India.,Kundan Shahi,AshwiniKakkar.9Unicorns,0,Undisclosed,2021,Finance
663,Lavado,2016,Mumbai,Consumer service,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,Disha Jain,AshishShah,0,Undisclosed,2021,
664,Navars,2019,Hyderabad,EdTech,"Navars Edutech comprises dynamic mix of intellectual professionals, managerial team, Subject matter experts and Astronomy and Space researchers.",Sravan Varma Datla,FaadNetwork,0,Undisclosed,2021,Education
665,GoBolt,2015,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Naitik Baghla, Parag Aggarwal, Sumit Sharma",ParagonPartnersAavishkaarCapital,20000000,SeriesB,2021,
666,Loco,2018,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Anirudh Pandita, Ashwin Suresh",KraftonLumikai,9000000,Seed,2021,
667,Auric,2017,New Delhi,HealthCare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Deepak Agarwal,VentureCatalysts,2000000,Pre-seriesA,2021,
668,Edmingle,2016,Bangalore,EdTech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,Gaurav Doshi,IndovationFundMumbaiAngels,300000,N/A,2021,Education
669,Slice,2016,Bangalore,FinTech,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.",Rajan Bajaj,GunosyBlumeVentures,20000000,N/A,2021,Finance
670,Humit,2020,Bangalore,Music,Humit is a social networking app for music sharing and discovery.,"Rohit Ganapathy, Prithvi Sankar, Ishaan Negi",AntlerIndia,0,Pre-seed,2021,
671,Airblack,2019,Gurugram,IT startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt Jaiswal, Vaibhav Raj Gupta",EdgeVenturesElevationCapital,5200000,SeriesA,2021,
672,NIRAMAI,2016,Bangalore,HealthCare,"NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.",Geetha Manjunath,CDCGroup,0,Undisclosed,2021,
673,Intervue,2021,New Delhi,SaaS startup,World's fastest collaborative environment to take tech interviews.,"Rahul Arora, Pushpender Singh Rautela",TitanCapitalKunalShah,0,Seed,2021,
674,Nestroots,2016,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",Chhavi Singh,WeFounderCircle,100000,Seed,2021,
675,Detect Technologies,2016,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,Daniel Raj David,AccelPartnersElevationCapital,12000000,N/A,2021,
676,CredR,2015,Bangalore,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,Sasidhar Nandigam,YamahaMotorsOmidyarNetworkIndiaEightRoadsVentures,6500000,N/A,2021,Automotive
677,Fourth Partner Energy,2010,Hyderabad,Solar,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.",Vivek Subramanian,NorfundTheRiseFund,125000000,N/A,2021,
678,TABLT,2018,Kolkata,HealthCare,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Anish Agarwal,SitiCable,3000000,SeiesA,2021,
679,Hesa,2020,Hyderabad,IT startup,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Vamsi Udayagiri, Hema Nandiraju",VentureCatalysts9unicorns,2000000,Seed,2021,
680,Powerhouse91,2020,Gurugram,Consumer goods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.","Shashwat Diesh, Aqib Mohammed",CrossbeamVenturePartners,0,Seed,2021,
681,Nalanda Learning,2011,Kolkata,EdTech,India's 1st Online Preschool with Blended Learning Model,Tamal Mukherjee,AavishkaarCapital,5000000,N/A,2021,Education
682,Chargeup,2019,New Delhi,Renewable Energy,"""Battery as a Service"" for 3 wheeler & 2 wheelers","Varun Goenka, Akshay Kashyap",Mapmyindia,0,Pre-seriesA,2021,
683,Knackit,2019,Bangalore,IT startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,"Pranjal Kumar, Akanksha Bhardwaj",JyotiBansal,100000,N/A,2021,
684,Treebo Hotels,2015,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,"Sidharth Gupta, Kadam Jeet Jain, Rahul Chaudhary",Accor,16000000,SeriesD,2021,Hospitality
685,Raptee Energy,2019,Chennai,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,Phunith Kumar,N/A,700000,N/A,2021,Automotive
686,Meddo,2018,Gurugram,HealthCare,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"Saurabh Kochhar, Dr Naveen Nishchal",SRICapitalPicusCapitalAlkemiCapital,6000000,N/A,2021,
687,Supertails,2021,Bangalore,Pet care,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",SaamaCapitalDSGConsumerPartners,2600000,Pre-seriesA,2021,
688,SkilloVilla,2020,Bangalore,EdTech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",TitanCapital,300000,Seed,2021,Education
689,Cancer Clinics,2014,Telugana,HealthCare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,1500000,Pre-seriesA,2021,
690,Velocity,2020,Bangalore,FinTech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",ValarVentures,1300000,Seed,2021,Finance
691,Happy Jars,2016,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",InflectionPointVentures,400000,Seed,2021,
692,Inshorts,2013,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha",AdditionSIGGlobalIndiaFund,40000000,N/A,2021,
693,ExtraaEdge,2015,Pune,MarTech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"Abhishek Ballabh, Sushil Mundada",9UnicornsAcceleratorFundIndianAngelNetwork,1000000,Pre-seriesA,2021,
694,Zotalabs,2019,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,"Nausherwan Shah, Wasim Khan",AlfaVentures,1250000,Seed,2021,
695,Voiro,2014,Bangalore,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,"Anand Gopal, Kavita Shenoy",1Crowd,1800000,Pre-seriesA,2021,
696,Dream Sports,2008,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","Bhavit Sheth, Harsh Jain",TCVD1CapitalPartnersFalconEdge.,400000000,N/A,2021,
697,Safex Chemicals,1991,New Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,"SK Jindal, SK Chaudhary",BanyanTreeFinancePvt.Ltd.,50000000,N/A,2021,
698,Rupifi,2019,Bangalore,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Anubhav Jain,QuonaCapital,4100000,Pre-seriesA,2021,Finance
699,Moneyboxx,1994,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,Deepak Aggarwal,AshvFinanceBlackSoilCapital,3000000,Debt,2021,Finance
700,CityMall,2019,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal",WaterBridgeVenturesSAIFPartners,11000000,SeriesA,2021,Retail
701,Janani,2020,Bangalore,Heathcare,Janani.ai is a fertility care provider.,Nilay Mehrotra,SwetaRau9UnicornsAcceleratorFund,1000000,Seed,2021,
702,ReshaMandi,2020,Bangalore,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,OmnivoreStriveVentures,1700000,Seed,2021,
703,Bombay Shaving Company,2015,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",RajeshSudKULDEEPJAIN,2000000,N/A,2021,
704,DotPe,2019,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag",PayUGoogle,27000000,SeriesA,2021,Finance
705,Five Star Finance,1984,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,V K Ranganathan,TPGCapitalAsiaEpiqCapital,234000000,N/A,2021,Finance
706,BYJU'S,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath",BlackRockOwlVentures,460000000,SeriesF,2021,Education
707,Annapurna Finance,2009,Bhubaneswar,FinTech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,Gobinda Chandra Pattnaik,AsianDevelopmentBankOmanIndiaJointInvestmentFund,30000000,N/A,2021,Finance
708,HealthPlix,2014,Bangalore,HealthCare,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda",JSWVenturesKalaariCapital,13500000,SeriesB,2021,
709,Masai School,2019,Bangalore,EdTech,Masai School is a job-oriented software training services.,Prateek Shukla,UnitusVenturesOmidyarNetworkIndia,5000000,SeriesA,2021,Education
710,Bewakoof,2011,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",Prabhkiran Singh,IvyCapVenturesPratithiInvestmentTrust,4000000,N/A,2021,
711,IndiaLends,2014,New Delhi,FinTech,IndiaLends is a digital lending and borrowing marketplace.,"Gaurav Chopra, Mayank Kachhwaha",ACPIInvestmentsAdvantEdgeFounders,5100000,N/A,2021,Finance
712,Stelis Biopharma,2007,Bangalore,BioTechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company.,Pudhucode Radhakrishnan Kannan,RouteOneMankekarFamilyOffice,195000000,SeriesB,2021,
713,Tilt,2016,Bangalore,Bike Rental,A bike-share for Indian campuses,Deepak VS,YCombinator,125000,N/A,2021,
714,NeoDove,2020,Jaipur,AI startup,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",Aprit Khandelwal,IndiaQuotient,15000000,Seed,2021,
715,Zaara Biotech,2016,Kottayam,BioTechnology,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,Najeeb Bin Haneef,TCNInternationalCommerce,10000000,N/A,2021,
716,KreditBee,2018,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",AlpineCapitalPremjiInvest,75000000,Seed,2021,Finance
717,True Balance,2014,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee",BonAngelsVenturePartnersDaesungPrivateEquity,10000000,Debt,2021,Finance
718,Muvin,2020,Bangalore,FinTech,Youth Neobank enabling financial solutions for the teenagers and young people,Mukund V Rao,N/A,1000000,Seed,2021,Finance
719,Purplle,2011,Mumbai,Beauty products,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Manish Taneja, Rahul Dash",SpringMarketingCapitalVerlinvest,45000000,N/A,2021,
720,FloBiz,2019,Bangalore,Tech Startup,India’s first neobusiness platform,Rahul Raj,ElevationCapital,10000000,SeriesA,2021,
721,Jeevam Health,2020,New Delhi,Health care,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",YCombinator,1500000,Pre-seed,2021,
722,NewLink Group,2016,Beijing,Tech Startup,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,"Yang Wang, Zhen Dai",BainCapital,200000000,N/A,2021,
723,OZiva,2016,Mumbai,Heathcare,OZiva is a plant-based Clean Nutrition Brand.,"Aarti, Mihir Gadani",F-PrimeCapitalEightRoadsVenturesIndia,12000000,SeriesB,2021,
724,Blive,2004,Panaji,Tourism,B: Live is an electric vehicle tourism startup.,"Samarth Kholkar, Sandeep Mukherjee",MumbaiAngelsDNAEntertainmentNetworks,1000000,Pre-seriesA,2021,
725,Nazara Technologies,2000,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,HornbillCapitalAdvisersPlutusWealthManagement,30000000,N/A,2021,
726,Euler Motors,2018,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,ADBVenturesJettyVentures,2600000,SeriesA,2021,Automotive
727,Pixxel,2019,Bangalore,SpaceTech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Awais Ahmed, Kshitij Khandelwal",TechstarsRyanJohnson,7300000,Seed,2021,
728,Prescinto,2016,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,Puneet Jaggi,VentureCatalysts9UnicornsAcceleratorFund,3500000,Seed,2021,
729,MyGlamm,2015,Mumbai,Beauty products,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Darpan Sanghvi,BessemerVenturePartners,20000000,SeriesC,2021,
730,Chirrup,2020,Bangalore,Gaming,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal",TitanCapitaliSeedFirstCheque3.0Fund.,300000,Pre-seed,2021,
731,Policybazaar,2008,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya",FalconEdgeCapitalWhiteOakGlobalAdvisors,75000000,N/A,2021,Finance
732,Livve Homes,2017,Bangalore,Rental space,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Maya Lakshman,Angelinvestors,5000000,N/A,2021,
733,Juicy Chemistry,2014,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",AkyaVentures,6300000,SeriesA,2021,
734,Svasti Microfinance,2008,Mumbai,FinTech,Svasti works with urban slum dwellers women microentrepreneurs.,"Arunkumar Padmanabhan, Narayanan Subramaniam",KayenneVenturesNordicMicrofinanceInitiative,4000000,N/A,2021,Finance
735,Nexprt,2020,New Delhi,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Harsha Vardhan K,TitanCapital,2000000,N/A,2021,
736,Ankur capital,2011,Mumbai,FinTech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Ritu Verma,N/A,40000000,N/A,2021,Finance
737,Indifi,2015,Gurugram,FinTech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi",ElevarEquityAccelIndia,5000000,Debt,2021,Finance
738,Say Cheese,2020,Mumbai,FemTech,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Rajpreet Kaur,N/A,1000000,Seed,2021,
739,Indic Inspirations,2019,Pune,Cultural,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Sunil Jalihal,Marqueeinvestors,300000,N/A,2021,
740,Bimaplan,2020,Mumbai,FinTech,Affordable insurance for the next billion Indians,Vikul Goyal,TitanCapitalYCombinator,500000,Seed,2021,Finance
741,YAP,2014,Chennai,FinTech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Madhusudanan R, Prabhu R",JitendraGuptaBetterCapital,10000000,SeriesB,2021,Finance
742,Leap Finance,2019,Bangalore,FinTech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Vaibhav Singh,JungleVentures,17000000,SeriesB,2021,Finance
743,BlackSoil NBFC,2010,Mumbai,FinTech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Mohinder Pal Bansal,N/A,3000000,N/A,2021,Finance
744,OYO,2012,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,HindustanMediaVenture,200000000,N/A,2021,Hospitality
745,Max Healthcare,2000,New Delhi,HealthCare,Max Healthcare is one of the leading chain of hospitals in India.,Analjit Singh,RadiantLifeCarePrivateLtdLifeHealthcare,140000000,N/A,2021,
746,4baseCare,2018,Bangalore,HealthTech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi",MountJudiVenturesgrowXVenturesSeasonTwoVentures,2000000,Pre-seriesA,2021,
747,Ezstays,2019,New Delhi,EdTech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",RichardRekhy,400000,Seed,2021,Education
